"PrinterName","whenCreated","whenChanged","SamAccountName","distinguishedName"
"2095-HP2400 Group","9/3/2008 3:02:52 PM","2/18/2021 9:29:05 AM","2095-HP2400","CN=2095-HP2400 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"1622-hp2055dn Group","4/23/2010 2:24:27 PM","2/18/2021 9:29:05 AM","1622-hp2055dn Group","CN=1622-hp2055dn Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4028-hp4014n Group","5/7/2009 3:55:51 PM","2/18/2021 9:29:05 AM","4028-hp4014n Group","CN=4028-hp4014n Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"3123-hp2500c Group","6/2/2010 3:55:02 PM","2/18/2021 9:29:05 AM","3123-hp2500c Group","CN=3123-hp2500c Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"emmed-canon Group","8/4/2010 10:59:06 AM","2/18/2021 9:29:06 AM","emmed-canon Group","CN=emmed-canon Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g190-hp2430 Group","8/4/2010 3:24:19 PM","2/18/2021 9:29:06 AM","g190-hp2430 Group","CN=g190-hp2430 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"rni-1030-bizhubc224e Group","11/14/2017 3:01:01 PM","6/2/2021 3:20:18 PM","rni-1030-bizhubc224e Group","CN=rni-1030-bizhubc224e Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g190a-peds-hp4050","8/4/2010 3:30:00 PM","2/18/2021 9:29:06 AM","g190a-peds-hp4050","CN=g190a-peds-hp4050,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"4621-tsp800 Group","8/4/2010 4:28:59 PM","2/18/2021 9:29:05 AM","4621-tsp800 Group","CN=4621-tsp800 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
"g214-hp4100 Group","8/5/2010 10:28:54 AM","2/18/2021 9:29:06 AM","g214-hp4100 Group","CN=g214-hp4100 Group,OU=Printer Groups,OU=HSC,DC=HS,DC=wvu-ad,DC=wvu,DC=edu"
