"SamAccountName","SourceOU","TargetOU"
"CRH1-BusiOffice Computer Print Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BMED FacultyFiles Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"crh-hpljp2055dn Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Addiction Psychiatry Fellowship","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Addiction Medicine Fellowship","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BMED Accounting Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"$TRC","HSC/SOM/BEHM/TRC","HS Users/HSC/SOM/BEHM/TRC"
"H-CRH1-MAILRM Printer Computer Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BMEDSAS Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"CRC Exec Asst RW Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"CRH1-HP-P2015-Case-Managers Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"CRH1-HP2600n-Intern-office Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Bariatrics Share Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Projects Folder Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Addiction Services Share Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Condon-Gross Research","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"DevelopmentPGY3 RW Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"H-CRH1-RM133 Printer Computer Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BMEDadmin folder group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"crh-168b-ricoh Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"CRH1-CommunityRelations Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"ClinicalStaffCred folder group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BEHM DBT Share Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"SBIRT Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"$BEHM","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BEHM Social Work Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"HSC BEHM share Traverse","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"COAT Data Share Drive","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"CRH1-BehavMain-Copy Computer Printer Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Blue Box Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"BEHM Appalachian Node RW Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Addiction Services Share Read Only Group","HSC/SOM/BEHM","HS Users/HSC/SOM/BEHM"
"Allergy Patient Master List Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"Travel Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"$ENT","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"ENT Educational Lectures Share Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"Otolaryngology Library Share Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"ENT Office Share","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"ENT Billing","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"Dept Research Share Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"OTOL Share traverse Group","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"ENT Allergy Clinic Group Share","HSC/SOM/ENT","HS Users/HSC/SOM/ENT"
"Pulmonary Fellows","HSC/SOM","HS Users/HSC/SOM"
"$OT","HSC/SOM/OT","HS Users/HSC/SOM/OT"
"$VA","HSC/SOM/VA","HS Users/HSC/SOM/VA"
"Critical Care and Trauma Institute Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7318-cognitive-label-printer Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"1409-Ricoh-mp-c307 Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7323-ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"hsc3-ortho-lb Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"H-HSC1-UROLOGY-LB Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7502-cognitive-label-printer Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"5303-ricoh-c300 Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Huseynova-Long-Zhang Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7318-Ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7609-ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"HSC Surgery Students","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"HSC Surgery PC Residents","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7317-Ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Surgery plastic-ccc share group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Covid 19 White Boards","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Surgery Share Traverse Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"SURG","HSC/SOM","HS Users/HSC/SOM"
"7502-Ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Rotating Database Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"$SURG","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7732-lexmark360dn","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7700-Ricoh Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"g166-ricoh-mp-c407 Printer Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7603-ricoh-mp-c307 Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"7533-ricoh","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"1409D-ricoh","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"Surg Schedulers Handbook Share Group","HSC/SOM/SURG","HS Users/HSC/SOM/SURG"
"$RESIDENTS","HSC/SOM/RESIDENTS","HS Users/HSC/SOM/RESIDENTS"
"$2006","HSC/SOM/RESIDENTS/2006","HS Users/HSC/SOM/RESIDENTS/2006"
"$SOM","HSC/SOM","HS Users/HSC/SOM"
"HSC Radiology Share Traverse Group","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
"Radiology Residency Program","HSC/SOM/RAD","HS Users/HSC/SOM/RAD"
